index_date,btc_usd_observed,btc_usd_fitted,btc_usd_predicted,std_error,ci_95_lower,ci_95_upper
2021-02-01,33537.17578125,,,,,
2021-02-02,35510.2890625,,,,,
2021-02-03,37472.08984375,,,,,
2021-02-04,36926.06640625,,,,,
2021-02-05,38144.30859375,,,,,
2021-02-06,39266.01171875,,,,,
2021-02-07,38903.44140625,,,,,
2021-02-08,46196.46484375,,,,,
2021-02-09,46481.10546875,,,,,
2021-02-10,44918.18359375,,,,,
2021-02-11,47909.33203125,,,,,
2021-02-12,47504.8515625,,,,,
2021-02-13,47105.515625,,,,,
2021-02-14,48717.2890625,,,,,
2021-02-15,47945.05859375,,,,,
2021-02-16,49199.87109375,50639.76790354152,,,,
2021-02-17,52149.0078125,50833.70902497836,,,,
2021-02-18,51679.796875,52506.0229233251,,,,
2021-02-19,55888.1328125,52798.98318744124,,,,
2021-02-20,56099.51953125,56181.79976203643,,,,
2021-02-21,57539.9453125,57579.86362294473,,,,
2021-02-22,54207.3203125,51529.63450699508,,,,
2021-02-23,48824.42578125,53273.9551792075,,,,
2021-02-24,49705.33203125,56575.72604072197,,,,
2021-02-25,47093.8515625,50950.787677610475,,,,
2021-02-26,46339.76171875,44678.80905968944,,,,
2021-02-27,46188.453125,46816.79408358586,,,,
2021-02-28,45137.76953125,48241.425206633976,,,,
2021-03-01,49631.2421875,39314.55578085623,,,,
2021-03-02,48378.98828125,40106.27159362231,,,,
2021-03-03,50538.2421875,51162.59815398451,,,,
2021-03-04,48561.16796875,48581.813119301645,,,,
2021-03-05,48927.3046875,50313.16658877542,,,,
2021-03-06,48912.3828125,47691.89316947899,,,,
2021-03-07,51206.69140625,50488.12183577189,,,,
2021-03-08,52246.5234375,50473.92794831921,,,,
2021-03-09,54824.1171875,50938.3768947466,,,,
2021-03-10,56008.55078125,54638.63449362313,,,,
2021-03-11,57805.12109375,54436.49769164628,,,,
2021-03-12,57332.08984375,59592.43998062835,,,,
2021-03-13,61243.0859375,57313.93098068056,,,,
2021-03-14,59302.31640625,59808.13380044797,,,,
2021-03-15,55907.19921875,60593.164058508846,,,,
2021-03-16,56804.90234375,57695.8945951427,,,,
2021-03-17,58870.89453125,60039.46550272565,,,,
2021-03-18,57858.921875,60598.6823989708,,,,
2021-03-19,58346.65234375,56803.660323894204,,,,
2021-03-20,58313.64453125,59348.37064441925,,,,
2021-03-21,57523.421875,55142.88288236745,,,,
2021-03-22,54529.14453125,57607.01424187587,,,,
2021-03-23,54738.9453125,59461.92668210321,,,,
2021-03-24,52774.265625,55109.156404477464,,,,
2021-03-25,51704.16015625,51056.0650282679,,,,
2021-03-26,55137.3125,53269.61052244296,,,,
2021-03-27,55973.51171875,57962.28889498222,,,,
2021-03-28,55950.74609375,56234.55344804833,,,,
2021-03-29,57750.19921875,50832.959465777785,,,,
2021-03-30,58917.69140625,58799.22994223755,,,,
2021-03-31,58918.83203125,55786.740974107204,,,,
2021-04-01,59095.80859375,59488.51941975265,,,,
2021-04-02,59384.3125,60665.390147607104,,,,
2021-04-03,57603.890625,59014.38373395828,,,,
2021-04-04,58758.5546875,58668.77413830631,,,,
2021-04-05,59057.87890625,58379.46941632922,,,,
2021-04-06,58192.359375,58738.521046769005,,,,
2021-04-07,56048.9375,56399.47993786032,,,,
2021-04-08,58323.953125,56868.743265390214,,,,
2021-04-09,58245.00390625,59089.4358278201,,,,
2021-04-10,59793.234375,57395.226332679675,,,,
2021-04-11,60204.96484375,60624.48440364352,,,,
2021-04-12,59893.453125,61631.41904363991,,,,
2021-04-13,63503.45703125,60374.32759409998,,,,
2021-04-14,63109.6953125,62343.327122348135,,,,
2021-04-15,63314.01171875,64607.23049292958,,,,
2021-04-16,61572.7890625,61927.98099843979,,,,
2021-04-17,60683.8203125,62587.06832066177,,,,
2021-04-18,56216.18359375,59170.64600853409,,,,
2021-04-19,55724.265625,58454.25623947451,,,,
2021-04-20,56473.03125,57659.43035388423,,,,
2021-04-21,53906.08984375,56336.52296984987,,,,
2021-04-22,51762.2734375,53638.095144872605,,,,
2021-04-23,51093.65234375,48346.14074192601,,,,
2021-04-24,50050.8671875,51664.672140825955,,,,
2021-04-25,49004.25390625,48806.97051264475,,,,
2021-04-26,54021.75390625,47797.14244578777,,,,
2021-04-27,55033.1171875,54641.91191835392,,,,
2021-04-28,54824.703125,52623.620322421426,,,,
2021-04-29,53555.109375,53057.71422675526,,,,
2021-04-30,57750.17578125,56474.856236748434,,,,
2021-05-01,57828.05078125,54010.194533662594,,,,
2021-05-02,56631.078125,54161.78022479943,,,,
2021-05-03,57200.29296875,60377.6799968701,,,,
